Timestamp,Action,Details
2024-12-28 03:15:43,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 03:15:43,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 03:15:43,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 03:15:48,Save Environment,environment.npy
2024-12-28 03:16:35,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 03:16:35,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 03:16:35,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 03:16:49,Save Environment,environment.npy
2024-12-28 03:17:03,Environment Loaded,Loaded from 'c:\Users\KAMI\Downloads\KRR PROJ\Knowledge_Rep\environment.npy'
2024-12-28 03:17:03,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 03:17:03,Grid Stats Printed,Printed grid statistics to console.
2024-12-28 03:17:28,Save Environment,environment.npy
