Timestamp,Drone_ID,Position_X,Position_Y
2025-01-01 16:45:08,1,307.54,104.47
2025-01-01 16:45:08,2,844.8,635.54
2025-01-01 16:45:08,3,930.02,361.23
2025-01-01 16:45:08,4,264.46,165.32
2025-01-01 16:45:08,5,952.85,425.13
2025-01-01 16:45:08,1,307.54,104.47
2025-01-01 16:45:08,2,844.8,630.54
2025-01-01 16:45:08,3,930.02,361.23
2025-01-01 16:45:08,4,259.46,165.32
2025-01-01 16:45:08,5,957.85,425.13
2025-01-01 16:45:08,1,307.54,104.47
2025-01-01 16:45:08,2,844.8,630.54
2025-01-01 16:45:08,3,935.02,356.23
2025-01-01 16:45:08,4,259.46,165.32
2025-01-01 16:45:08,5,957.85,425.13
2025-01-01 16:45:08,1,307.54,109.47
2025-01-01 16:45:08,2,839.8,630.54
2025-01-01 16:45:08,3,935.02,351.23
2025-01-01 16:45:08,4,259.46,170.32
2025-01-01 16:45:08,5,957.85,425.13
2025-01-01 16:45:08,1,307.54,109.47
2025-01-01 16:45:08,2,844.8,630.54
2025-01-01 16:45:08,3,935.02,351.23
2025-01-01 16:45:08,4,259.46,170.32
2025-01-01 16:45:08,5,957.85,430.13
2025-01-01 16:45:08,1,302.54,109.47
2025-01-01 16:45:08,2,849.8,630.54
2025-01-01 16:45:08,3,935.02,351.23
2025-01-01 16:45:08,4,264.46,165.32
2025-01-01 16:45:08,5,962.85,430.13
2025-01-01 16:45:08,1,302.54,109.47
2025-01-01 16:45:08,2,844.8,630.54
2025-01-01 16:45:08,3,930.02,351.23
2025-01-01 16:45:08,4,264.46,170.32
2025-01-01 16:45:08,5,962.85,430.13
2025-01-01 16:45:08,1,307.54,109.47
2025-01-01 16:45:08,2,849.8,635.54
2025-01-01 16:45:08,3,930.02,351.23
2025-01-01 16:45:08,4,269.46,170.32
2025-01-01 16:45:08,5,957.85,430.13
2025-01-01 16:45:08,1,307.54,104.47
2025-01-01 16:45:08,2,849.8,635.54
2025-01-01 16:45:08,3,935.02,351.23
2025-01-01 16:45:08,4,274.46,170.32
2025-01-01 16:45:08,5,957.85,430.13
2025-01-01 16:45:08,1,307.54,104.47
2025-01-01 16:45:08,2,844.8,635.54
2025-01-01 16:45:08,3,935.02,351.23
2025-01-01 16:45:08,4,269.46,170.32
2025-01-01 16:45:08,5,957.85,430.13
2025-01-01 16:45:08,1,307.54,104.47
2025-01-01 16:45:08,2,844.8,635.54
2025-01-01 16:45:08,3,935.02,351.23
2025-01-01 16:45:08,4,269.46,170.32
2025-01-01 16:45:08,5,962.85,435.13
2025-01-01 16:45:08,1,307.54,104.47
2025-01-01 16:45:08,2,844.8,635.54
2025-01-01 16:45:08,3,935.02,351.23
2025-01-01 16:45:08,4,269.46,165.32
2025-01-01 16:45:08,5,957.85,430.13
2025-01-01 16:45:08,1,307.54,104.47
2025-01-01 16:45:08,2,844.8,635.54
2025-01-01 16:45:08,3,935.02,351.23
2025-01-01 16:45:08,4,269.46,165.32
2025-01-01 16:45:08,5,962.85,430.13
2025-01-01 16:45:08,1,307.54,104.47
2025-01-01 16:45:08,2,849.8,635.54
2025-01-01 16:45:08,3,935.02,356.23
2025-01-01 16:45:08,4,269.46,160.32
2025-01-01 16:45:08,5,962.85,435.13
2025-01-01 16:45:08,1,302.54,104.47
2025-01-01 16:45:08,2,849.8,635.54
2025-01-01 16:45:08,3,935.02,356.23
2025-01-01 16:45:08,4,269.46,155.32
2025-01-01 16:45:08,5,962.85,435.13
2025-01-01 16:45:08,1,307.54,104.47
2025-01-01 16:45:08,2,849.8,635.54
2025-01-01 16:45:08,3,935.02,356.23
2025-01-01 16:45:08,4,274.46,160.32
2025-01-01 16:45:08,5,962.85,435.13
2025-01-01 16:45:08,1,307.54,109.47
2025-01-01 16:45:08,2,854.8,640.54
2025-01-01 16:45:08,3,930.02,356.23
2025-01-01 16:45:08,4,274.46,160.32
2025-01-01 16:45:08,5,962.85,435.13
2025-01-01 16:45:08,1,302.54,109.47
2025-01-01 16:45:08,2,849.8,645.54
2025-01-01 16:45:08,3,925.02,356.23
2025-01-01 16:45:08,4,269.46,155.32
2025-01-01 16:45:08,5,962.85,440.13
2025-01-01 16:45:08,1,297.54,114.47
2025-01-01 16:45:08,2,849.8,640.54
2025-01-01 16:45:08,3,925.02,351.23
2025-01-01 16:45:08,4,274.46,155.32
2025-01-01 16:45:08,5,957.85,440.13
2025-01-01 16:45:08,1,297.54,114.47
2025-01-01 16:45:08,2,849.8,640.54
2025-01-01 16:45:08,3,925.02,346.23
2025-01-01 16:45:08,4,274.46,160.32
2025-01-01 16:45:08,5,962.85,440.13
2025-01-01 16:45:08,1,297.54,109.47
2025-01-01 16:45:08,2,849.8,635.54
2025-01-01 16:45:08,3,925.02,346.23
2025-01-01 16:45:08,4,279.46,165.32
2025-01-01 16:45:08,5,962.85,445.13
2025-01-01 16:45:08,1,297.54,104.47
2025-01-01 16:45:08,2,849.8,640.54
2025-01-01 16:45:08,3,930.02,341.23
2025-01-01 16:45:08,4,284.46,170.32
2025-01-01 16:45:08,5,967.85,445.13
2025-01-01 16:45:08,1,297.54,104.47
2025-01-01 16:45:08,2,849.8,640.54
2025-01-01 16:45:08,3,930.02,341.23
2025-01-01 16:45:08,4,279.46,175.32
2025-01-01 16:45:08,5,967.85,450.13
2025-01-01 16:45:08,1,297.54,109.47
2025-01-01 16:45:08,2,844.8,635.54
2025-01-01 16:45:08,3,935.02,341.23
2025-01-01 16:45:08,4,284.46,175.32
2025-01-01 16:45:08,5,962.85,445.13
2025-01-01 16:45:08,1,292.54,104.47
2025-01-01 16:45:08,2,849.8,635.54
2025-01-01 16:45:08,3,935.02,341.23
2025-01-01 16:45:08,4,284.46,175.32
2025-01-01 16:45:08,5,962.85,440.13
2025-01-01 16:45:08,1,292.54,99.47
2025-01-01 16:45:08,2,849.8,635.54
2025-01-01 16:45:08,3,930.02,341.23
2025-01-01 16:45:08,4,284.46,180.32
2025-01-01 16:45:08,5,962.85,445.13
2025-01-01 16:45:08,1,297.54,94.47
2025-01-01 16:45:08,2,854.8,640.54
2025-01-01 16:45:08,3,930.02,341.23
2025-01-01 16:45:08,4,284.46,175.32
2025-01-01 16:45:08,5,962.85,445.13
2025-01-01 16:45:08,1,297.54,94.47
2025-01-01 16:45:08,2,854.8,640.54
2025-01-01 16:45:08,3,925.02,341.23
2025-01-01 16:45:08,4,284.46,175.32
2025-01-01 16:45:08,5,962.85,445.13
2025-01-01 16:45:08,1,297.54,94.47
2025-01-01 16:45:08,2,859.8,640.54
2025-01-01 16:45:08,3,930.02,346.23
2025-01-01 16:45:08,4,279.46,175.32
2025-01-01 16:45:08,5,962.85,445.13
2025-01-01 16:45:08,1,292.54,94.47
2025-01-01 16:45:08,2,859.8,640.54
2025-01-01 16:45:08,3,930.02,346.23
2025-01-01 16:45:08,4,274.46,170.32
2025-01-01 16:45:08,5,967.85,450.13
2025-01-01 16:45:08,1,297.54,94.47
2025-01-01 16:45:08,2,859.8,635.54
2025-01-01 16:45:08,3,925.02,346.23
2025-01-01 16:45:08,4,274.46,170.32
2025-01-01 16:45:08,5,972.85,450.13
2025-01-01 16:45:08,1,297.54,94.47
2025-01-01 16:45:08,2,864.8,630.54
2025-01-01 16:45:08,3,925.02,341.23
2025-01-01 16:45:08,4,274.46,165.32
2025-01-01 16:45:08,5,972.85,450.13
2025-01-01 16:45:08,1,297.54,99.47
2025-01-01 16:45:08,2,864.8,625.54
2025-01-01 16:45:08,3,920.02,336.23
2025-01-01 16:45:08,4,269.46,170.32
2025-01-01 16:45:08,5,967.85,450.13
